name,price,description,imageUrl,quantity,category,sku,available,discount
ProductE,268.23,Limited edition,http://example.com/producte.jpg,33.0,Home,SKU0100,True,0.37
ProductE,429.17,Limited edition,http://example.com/producte.jpg,44.0,Clothing,SKU0101,False,0.05
ProductA,360.55,Popular item,http://example.com/producta.jpg,63.0,Sports,SKU0102,True,0.07
ProductD,491.79,High quality,http://example.com/productd.jpg,90.0,Books,SKU0103,True,0.14
ProductC,227.14,High quality,http://example.com/productc.jpg,8.0,Sports,SKU0104,True,0.14
ProductC,312.35,Durable,http://example.com/productc.jpg,56.0,Clothing,SKU0105,True,0.41
,,,,,,,,
ProductA,143.47,Limited edition,http://example.com/producta.jpg,58.0,Sports,SKU0107,False,0.21
ProductA,143.47,Limited edition,http://example.com/producta.jpg,58.0,Sports,SKU0107,False,0.21
ProductA,64.59,Eco-friendly,http://example.com/producta.jpg,13.0,Books,SKU0108,False,0.3
,,,,,,,,
ProductE,351.64,Eco-friendly,http://example.com/producte.jpg,24.0,Books,SKU0110,False,0.35
ProductA,53.68,Eco-friendly,http://example.com/producta.jpg,57.0,Books,SKU0111,False,0.11
ProductD,321.41,Limited edition,http://example.com/productd.jpg,65.0,Clothing,SKU0112,False,0.29
ProductE,456.98,Popular item,http://example.com/producte.jpg,92.0,Sports,SKU0113,True,0.22
ProductA,309.0,Durable,http://example.com/producta.jpg,5.0,Clothing,SKU0114,True,0.33
ProductD,478.58,High quality,http://example.com/productd.jpg,9.0,Clothing,SKU0115,False,0.01
ProductA,104.25,High quality,http://example.com/producta.jpg,40.0,Home,SKU0116,True,0.48
ProductB,22.24,Eco-friendly,http://example.com/productb.jpg,99.0,Electronics,SKU0117,True,0.37
ProductC,127.58,Eco-friendly,http://example.com/productc.jpg,85.0,Sports,SKU0118,True,0.33
ProductE,199.27,Limited edition,http://example.com/producte.jpg,36.0,Electronics,SKU0119,True,0.49
ProductD,43.4,Limited edition,http://example.com/productd.jpg,21.0,Books,SKU0120,False,0.33
ProductA,254.27,Popular item,http://example.com/producta.jpg,100.0,Clothing,SKU0121,True,0.15
ProductC,45.88,Popular item,http://example.com/productc.jpg,70.0,Electronics,SKU0122,True,0.3
ProductD,274.9,Popular item,http://example.com/productd.jpg,82.0,Electronics,SKU0123,False,0.21
ProductB,75.74,Limited edition,http://example.com/productb.jpg,40.0,Books,SKU0124,False,0.32
,,,,,,,,
ProductE,481.04,High quality,http://example.com/producte.jpg,47.0,Clothing,SKU0126,True,0.18
ProductE,456.57,Eco-friendly,http://example.com/producte.jpg,19.0,Books,SKU0127,True,0.23
ProductA,83.58,Eco-friendly,http://example.com/producta.jpg,69.0,Home,SKU0128,True,0.49
ProductC,454.19,Eco-friendly,http://example.com/productc.jpg,78.0,Electronics,SKU0129,True,0.17
ProductD,325.42,Eco-friendly,http://example.com/productd.jpg,51.0,Clothing,SKU0130,False,0.13
ProductB,90.85,Limited edition,http://example.com/productb.jpg,55.0,Electronics,SKU0131,False,0.42
,,,,,,,,
ProductD,122.06,Eco-friendly,http://example.com/productd.jpg,12.0,Home,SKU0133,False,0.3
ProductE,238.53,Limited edition,http://example.com/producte.jpg,94.0,Home,SKU0134,True,0.48
ProductB,92.11,Popular item,http://example.com/productb.jpg,61.0,Sports,SKU0135,False,0.31
,,,,,,,,
ProductD,153.76,Limited edition,http://example.com/productd.jpg,22.0,Books,SKU0137,False,0.04
ProductE,119.63,Limited edition,http://example.com/producte.jpg,71.0,Electronics,SKU0138,True,0.48
ProductE,335.64,Popular item,http://example.com/producte.jpg,83.0,Clothing,SKU0139,False,0.04
ProductB,145.56,Popular item,http://example.com/productb.jpg,95.0,Books,SKU0140,False,0.22
ProductC,31.74,High quality,http://example.com/productc.jpg,66.0,Clothing,SKU0141,False,0.47
ProductC,449.56,Durable,http://example.com/productc.jpg,83.0,Books,SKU0142,True,0.11
ProductE,225.42,Limited edition,http://example.com/producte.jpg,28.0,Sports,SKU0143,True,0.03
ProductA,196.87,Popular item,http://example.com/producta.jpg,88.0,Clothing,SKU0144,False,0.25
ProductC,250.23,Limited edition,http://example.com/productc.jpg,90.0,Sports,SKU0145,True,0.44
ProductB,70.45,Popular item,http://example.com/productb.jpg,84.0,Sports,SKU0146,True,0.2
ProductA,466.64,High quality,http://example.com/producta.jpg,97.0,Electronics,SKU0147,False,0.02
ProductC,27.66,Eco-friendly,http://example.com/productc.jpg,85.0,Clothing,SKU0148,True,0.19
ProductE,273.78,Limited edition,http://example.com/producte.jpg,33.0,Sports,SKU0149,False,0.32
ProductD,311.2,Popular item,http://example.com/productd.jpg,18.0,Clothing,SKU0150,False,0.01
ProductD,393.9,Popular item,http://example.com/productd.jpg,30.0,Books,SKU0151,True,0.11
ProductB,289.65,Eco-friendly,http://example.com/productb.jpg,29.0,Sports,SKU0152,True,0.4
,,,,,,,,
ProductA,375.89,Durable,http://example.com/producta.jpg,38.0,Home,SKU0154,True,0.33
ProductA,152.58,Durable,http://example.com/producta.jpg,29.0,Home,SKU0155,False,0.02
ProductA,407.52,High quality,http://example.com/producta.jpg,96.0,Clothing,SKU0156,True,0.26
ProductA,398.67,Popular item,http://example.com/producta.jpg,52.0,Home,SKU0157,True,0.46
ProductC,389.24,Popular item,http://example.com/productc.jpg,52.0,Books,SKU0158,False,0.36
ProductE,114.4,Popular item,http://example.com/producte.jpg,48.0,Sports,SKU0159,True,0.38
ProductC,44.29,Eco-friendly,http://example.com/productc.jpg,46.0,Clothing,SKU0160,True,0.23
ProductC,44.29,Eco-friendly,http://example.com/productc.jpg,46.0,Clothing,SKU0160,True,0.23
ProductC,250.04,Durable,http://example.com/productc.jpg,24.0,Home,SKU0161,True,0.09
ProductD,21.28,High quality,http://example.com/productd.jpg,28.0,Sports,SKU0162,False,0.43
,,,,,,,,
ProductB,150.26,Popular item,http://example.com/productb.jpg,58.0,Clothing,SKU0164,False,0.06
ProductB,150.26,Popular item,http://example.com/productb.jpg,58.0,Clothing,SKU0164,False,0.06
ProductC,424.15,Limited edition,http://example.com/productc.jpg,26.0,Sports,SKU0165,True,0.08
ProductE,463.55,Durable,http://example.com/producte.jpg,18.0,Electronics,SKU0166,True,0.28
ProductD,161.0,Popular item,http://example.com/productd.jpg,89.0,Clothing,SKU0167,True,0.25
ProductC,254.12,Eco-friendly,http://example.com/productc.jpg,60.0,Clothing,SKU0168,False,0.05
ProductC,254.12,Eco-friendly,http://example.com/productc.jpg,60.0,Clothing,SKU0168,False,0.05
ProductA,144.75,Durable,http://example.com/producta.jpg,66.0,Sports,SKU0169,False,0.49
ProductC,51.32,Eco-friendly,http://example.com/productc.jpg,47.0,Books,SKU0170,False,0.31
ProductD,268.03,Durable,http://example.com/productd.jpg,47.0,Electronics,SKU0171,True,0.45
,,,,,,,,
ProductE,153.91,Eco-friendly,http://example.com/producte.jpg,60.0,Sports,SKU0173,False,0.42
ProductE,114.95,Eco-friendly,http://example.com/producte.jpg,92.0,Clothing,SKU0174,False,0.18
ProductC,215.83,Eco-friendly,http://example.com/productc.jpg,71.0,Books,SKU0175,True,0.47
ProductA,294.81,Durable,http://example.com/producta.jpg,30.0,Clothing,SKU0176,True,0.18
ProductA,473.73,Popular item,http://example.com/producta.jpg,22.0,Home,SKU0177,True,0.22
ProductE,60.24,Limited edition,http://example.com/producte.jpg,99.0,Clothing,SKU0178,True,0.47
,,,,,,,,
ProductB,119.14,Durable,http://example.com/productb.jpg,49.0,Sports,SKU0180,False,0.49
ProductE,87.0,High quality,http://example.com/producte.jpg,20.0,Electronics,SKU0181,False,0.32
ProductE,87.0,High quality,http://example.com/producte.jpg,20.0,Electronics,SKU0181,False,0.32
ProductD,270.25,Popular item,http://example.com/productd.jpg,24.0,Books,SKU0182,True,0.33
ProductE,199.87,Eco-friendly,http://example.com/producte.jpg,79.0,Sports,SKU0183,False,0.42
ProductB,48.64,Eco-friendly,http://example.com/productb.jpg,54.0,Electronics,SKU0184,True,0.45
ProductB,54.98,Popular item,http://example.com/productb.jpg,5.0,Books,SKU0185,False,0.49
ProductC,276.87,Popular item,http://example.com/productc.jpg,43.0,Sports,SKU0186,False,0.31
ProductE,268.76,Durable,http://example.com/producte.jpg,57.0,Sports,SKU0187,True,0.09
ProductA,379.09,High quality,http://example.com/producta.jpg,76.0,Clothing,SKU0188,True,0.47
ProductE,472.06,Eco-friendly,http://example.com/producte.jpg,32.0,Home,SKU0189,True,0.33
ProductE,472.06,Eco-friendly,http://example.com/producte.jpg,32.0,Home,SKU0189,True,0.33
ProductE,14.42,High quality,http://example.com/producte.jpg,48.0,Books,SKU0190,False,0.11
ProductB,397.72,Limited edition,http://example.com/productb.jpg,75.0,Electronics,SKU0191,True,0.11
ProductE,277.33,High quality,http://example.com/producte.jpg,64.0,Home,SKU0192,True,0.31
ProductA,488.86,Popular item,http://example.com/producta.jpg,38.0,Sports,SKU0193,False,0.12
ProductD,63.25,Durable,http://example.com/productd.jpg,41.0,Electronics,SKU0194,True,0.37
ProductE,44.58,Limited edition,http://example.com/producte.jpg,36.0,Books,SKU0195,False,0.37
ProductC,491.65,Durable,http://example.com/productc.jpg,33.0,Home,SKU0196,False,0.13
ProductA,15.44,High quality,http://example.com/producta.jpg,28.0,Sports,SKU0197,False,0.14
ProductB,467.1,Durable,http://example.com/productb.jpg,69.0,Sports,SKU0198,True,0.19
,,,,,,,,
ProductA,414.19,High quality,http://example.com/producta.jpg,5.0,Sports,SKU0200,False,0.2
,,,,,,,,
,,,,,,,,
ProductB,181.84,Eco-friendly,http://example.com/productb.jpg,56.0,Clothing,SKU0203,False,0.2
ProductB,181.84,Eco-friendly,http://example.com/productb.jpg,56.0,Clothing,SKU0203,False,0.2
ProductD,91.7,Popular item,http://example.com/productd.jpg,25.0,Home,SKU0204,False,0.24
ProductA,188.79,Durable,http://example.com/producta.jpg,1.0,Sports,SKU0205,False,0.13
ProductE,141.66,Limited edition,http://example.com/producte.jpg,36.0,Clothing,SKU0206,True,0.13
ProductA,183.11,Durable,http://example.com/producta.jpg,54.0,Home,SKU0207,False,0.21
ProductA,276.01,Eco-friendly,http://example.com/producta.jpg,96.0,Sports,SKU0208,False,0.42
ProductD,103.81,High quality,http://example.com/productd.jpg,81.0,Books,SKU0209,True,0.21
ProductC,43.93,Popular item,http://example.com/productc.jpg,21.0,Home,SKU0210,True,0.03
ProductC,43.93,Popular item,http://example.com/productc.jpg,21.0,Home,SKU0210,True,0.03
ProductC,65.2,Limited edition,http://example.com/productc.jpg,79.0,Sports,SKU0211,True,0.33
ProductA,153.39,Durable,http://example.com/producta.jpg,53.0,Sports,SKU0212,True,0.45
ProductA,211.19,Eco-friendly,http://example.com/producta.jpg,39.0,Sports,SKU0213,False,0.34
ProductB,32.53,Limited edition,http://example.com/productb.jpg,34.0,Sports,SKU0214,True,0.2
ProductC,287.38,Limited edition,http://example.com/productc.jpg,40.0,Clothing,SKU0215,True,0.4
ProductC,287.38,Limited edition,http://example.com/productc.jpg,40.0,Clothing,SKU0215,True,0.4
ProductD,89.06,Popular item,http://example.com/productd.jpg,31.0,Electronics,SKU0216,False,0.2
ProductE,93.47,Eco-friendly,http://example.com/producte.jpg,95.0,Clothing,SKU0217,False,0.12
ProductC,493.58,Popular item,http://example.com/productc.jpg,80.0,Home,SKU0218,True,0.2
ProductA,50.47,Durable,http://example.com/producta.jpg,69.0,Sports,SKU0219,True,0.28
ProductC,314.57,Durable,http://example.com/productc.jpg,60.0,Clothing,SKU0220,False,0.3
ProductB,498.21,Limited edition,http://example.com/productb.jpg,40.0,Books,SKU0221,False,0.23
ProductA,26.67,High quality,http://example.com/producta.jpg,83.0,Home,SKU0222,False,0.19
ProductE,255.01,Limited edition,http://example.com/producte.jpg,7.0,Clothing,SKU0223,True,0.45
ProductD,369.56,Popular item,http://example.com/productd.jpg,13.0,Sports,SKU0224,True,0.08
,,,,,,,,
ProductE,97.79,High quality,http://example.com/producte.jpg,64.0,Home,SKU0226,False,0.13
ProductC,407.75,Eco-friendly,http://example.com/productc.jpg,97.0,Electronics,SKU0227,True,0.47
ProductC,324.44,Eco-friendly,http://example.com/productc.jpg,10.0,Electronics,SKU0228,True,0.12
,,,,,,,,
ProductE,472.27,Eco-friendly,http://example.com/producte.jpg,30.0,Books,SKU0230,False,0.12
ProductA,314.2,High quality,http://example.com/producta.jpg,77.0,Sports,SKU0231,True,0.43
ProductE,44.0,High quality,http://example.com/producte.jpg,11.0,Clothing,SKU0232,True,0.1
ProductD,54.39,Durable,http://example.com/productd.jpg,98.0,Home,SKU0233,True,0.21
ProductD,479.89,Durable,http://example.com/productd.jpg,66.0,Home,SKU0234,True,0.22
ProductE,128.62,Limited edition,http://example.com/producte.jpg,97.0,Sports,SKU0235,False,0.04
ProductE,128.62,Limited edition,http://example.com/producte.jpg,97.0,Sports,SKU0235,False,0.04
ProductB,297.45,High quality,http://example.com/productb.jpg,3.0,Home,SKU0236,True,0.28
ProductD,141.28,Popular item,http://example.com/productd.jpg,88.0,Electronics,SKU0237,True,0.34
ProductD,141.28,Popular item,http://example.com/productd.jpg,88.0,Electronics,SKU0237,True,0.34
ProductC,419.36,Popular item,http://example.com/productc.jpg,95.0,Electronics,SKU0238,False,0.41
ProductA,225.87,Eco-friendly,http://example.com/producta.jpg,25.0,Clothing,SKU0239,False,0.43
ProductB,280.39,Limited edition,http://example.com/productb.jpg,65.0,Clothing,SKU0240,True,0.2
ProductA,313.0,Popular item,http://example.com/producta.jpg,76.0,Books,SKU0241,True,0.4
ProductD,295.35,Limited edition,http://example.com/productd.jpg,84.0,Electronics,SKU0242,False,0.12
ProductB,258.75,Popular item,http://example.com/productb.jpg,48.0,Clothing,SKU0243,True,0.11
ProductD,279.64,Popular item,http://example.com/productd.jpg,32.0,Sports,SKU0244,False,0.25
ProductA,424.88,High quality,http://example.com/producta.jpg,98.0,Sports,SKU0245,True,0.11
ProductD,220.96,Limited edition,http://example.com/productd.jpg,60.0,Sports,SKU0246,False,0.43
ProductD,220.96,Limited edition,http://example.com/productd.jpg,60.0,Sports,SKU0246,False,0.43
ProductA,239.92,Durable,http://example.com/producta.jpg,76.0,Books,SKU0247,False,0.09
ProductD,140.57,Popular item,http://example.com/productd.jpg,76.0,Sports,SKU0248,False,0.1
ProductE,359.77,Popular item,http://example.com/producte.jpg,68.0,Sports,SKU0249,False,0.18
ProductA,311.15,High quality,http://example.com/producta.jpg,60.0,Books,SKU0250,False,0.28
ProductA,81.69,Eco-friendly,http://example.com/producta.jpg,57.0,Electronics,SKU0251,True,0.24
ProductA,81.69,Eco-friendly,http://example.com/producta.jpg,57.0,Electronics,SKU0251,True,0.24
,,,,,,,,
,,,,,,,,
ProductC,499.28,Eco-friendly,http://example.com/productc.jpg,22.0,Books,SKU0254,True,0.03
ProductA,232.28,High quality,http://example.com/producta.jpg,60.0,Books,SKU0255,True,0.37
ProductB,75.78,Eco-friendly,http://example.com/productb.jpg,7.0,Sports,SKU0256,False,0.12
ProductE,152.71,High quality,http://example.com/producte.jpg,77.0,Home,SKU0257,True,0.03
ProductB,396.27,High quality,http://example.com/productb.jpg,21.0,Home,SKU0258,False,0.48
ProductB,272.68,Popular item,http://example.com/productb.jpg,14.0,Home,SKU0259,True,0.39
ProductA,472.19,High quality,http://example.com/producta.jpg,97.0,Clothing,SKU0260,False,0.45
ProductD,161.58,Durable,http://example.com/productd.jpg,89.0,Sports,SKU0261,False,0.45
ProductB,181.02,High quality,http://example.com/productb.jpg,85.0,Clothing,SKU0262,True,0.15
ProductE,338.98,High quality,http://example.com/producte.jpg,26.0,Sports,SKU0263,True,0.2
ProductE,102.11,Limited edition,http://example.com/producte.jpg,35.0,Sports,SKU0264,False,0.24
,,,,,,,,
ProductD,130.98,Durable,http://example.com/productd.jpg,61.0,Sports,SKU0266,False,0.26
ProductA,477.25,Durable,http://example.com/producta.jpg,48.0,Clothing,SKU0267,False,0.28
ProductA,288.1,High quality,http://example.com/producta.jpg,66.0,Clothing,SKU0268,True,0.32
ProductA,288.1,High quality,http://example.com/producta.jpg,66.0,Clothing,SKU0268,True,0.32
ProductB,103.75,Limited edition,http://example.com/productb.jpg,62.0,Sports,SKU0269,True,0.42
ProductB,264.24,Durable,http://example.com/productb.jpg,52.0,Clothing,SKU0270,False,0.03
ProductC,338.14,Limited edition,http://example.com/productc.jpg,69.0,Electronics,SKU0271,True,0.08
ProductC,371.07,Limited edition,http://example.com/productc.jpg,30.0,Books,SKU0272,False,0.07
,,,,,,,,
ProductE,369.43,Popular item,http://example.com/producte.jpg,8.0,Electronics,SKU0274,True,0.25
ProductB,116.77,Limited edition,http://example.com/productb.jpg,48.0,Sports,SKU0275,True,0.2
ProductC,300.48,High quality,http://example.com/productc.jpg,84.0,Home,SKU0276,False,0.2
ProductD,251.19,High quality,http://example.com/productd.jpg,46.0,Home,SKU0277,True,0.04
ProductB,95.31,Eco-friendly,http://example.com/productb.jpg,100.0,Electronics,SKU0278,True,0.44
ProductB,49.97,Limited edition,http://example.com/productb.jpg,3.0,Books,SKU0279,True,0.08
ProductB,49.97,Limited edition,http://example.com/productb.jpg,3.0,Books,SKU0279,True,0.08
ProductD,368.13,Eco-friendly,http://example.com/productd.jpg,71.0,Electronics,SKU0280,False,0.1
ProductE,87.68,High quality,http://example.com/producte.jpg,25.0,Books,SKU0281,False,0.3
ProductA,351.57,High quality,http://example.com/producta.jpg,18.0,Clothing,SKU0282,True,0.06
ProductA,351.57,High quality,http://example.com/producta.jpg,18.0,Clothing,SKU0282,True,0.06
ProductA,342.74,Eco-friendly,http://example.com/producta.jpg,70.0,Electronics,SKU0283,False,0.01
ProductC,480.27,Limited edition,http://example.com/productc.jpg,41.0,Sports,SKU0284,False,0.32
ProductA,173.95,High quality,http://example.com/producta.jpg,10.0,Books,SKU0285,False,0.49
ProductD,469.97,Durable,http://example.com/productd.jpg,78.0,Sports,SKU0286,False,0.4
